Date,Close,High,Low,Open,Volume
2024-02-28,-31.563928604125977,-31.82335749453341,-29.337157638728968,-30.0505895614624,1164344
2024-02-29,-31.909835815429688,-32.3205979480858,-30.720783717005126,-31.56392843090653,945147
2024-03-01,-32.212501525878906,-32.796217336718634,-30.37487559990595,-31.909835045833777,1560245
2024-03-04,-29.85601806640625,-32.363835017338936,-29.63982677931806,-32.34221786792046,1596554
2024-03-05,-30.18030548095703,-30.569447164901575,-28.969632934324032,-30.158685032374645,774816
2024-03-06,-29.099349975585938,-30.504593409942427,-28.731822130623392,-30.266781663062822,864563
2024-03-07,-29.83439826965332,-30.28840130197932,-29.18582439422607,-29.44525328463351,357354
2024-03-08,-29.726303100585938,-30.24516088972376,-29.29392051003196,-29.85601919727908,406942
2024-03-11,-29.402015686035156,-30.612688239692943,-29.402015686035156,-30.093827160060755,503239
2024-03-12,-29.099349975585938,-29.94249471667287,-28.796680179664865,-29.402016472689603,313763
2024-03-13,-30.288400650024418,-30.872116465581048,-28.96963247884845,-28.991252927090905,956873
2024-03-14,-29.747922897338867,-30.61268805948456,-29.618206803490093,-30.26678067509936,654618
2024-03-15,-29.964115142822266,-30.5045933863882,-29.726303396126298,-29.747923845395896,608545
2024-03-18,-28.86153793334961,-30.48297264870633,-28.537250990278267,-30.158685705634987,697303
2024-03-19,-29.402015686035156,-29.812777820945485,-27.6724853515625,-28.969633102416992,361294
